Hotel ID,Hotel name,Hotel URL,Stars (class),"x,y coordinates",pros,cons,author ID,creation_date
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,"Very friendly staff, clean & spacious room and good location which is closed to a good number of good restaurants & cafes.",,5260086,2021-07-07 21:26:49
2399184,Warwick Hotel Jeddah,https://www.booking.com/hotel/sa/salsabil-by-warwick.html,4.0,39.2369889179993,21.5103268031441,"Comfortable, and the staff are all accomodating. Even the information desk personnel, both of the gentlemen can fluent speak the “universal language”. So we can ask any queries from them. Big 👍 thumbs up.","Nothing much, only we spotted a dusty part of the room was the window side, need to spot check every corner of the room especially todays pandemic we need to be clean.",251971713,2021-06-13 18:18:49
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,location,,119733683,2022-05-03 16:38:59
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,luxurious and light to Pocket   .. Mr Omer at Reception thank u so much ..best  place to stay in Jeddah if u r coming from Makkah and wanna do some shopping near good Malls,,259360289,2022-05-02 03:30:21
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,Great hospitality of housekeeping staff and best service.Very satisfied. i thank  srilankan employee Mr. Rushdi for the speed of service and his excellent treatment with customers and respond warmly to our need. Thank you platinum seventy for good service,,227557271,2022-04-10 02:04:21
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,"The hotel housekeeping staff are at the top of service and hospitality and professional in the work and attention to the comfort of the guest especially mr Mahmoud. Rushdi Zaki Ronel Rahim jojo Ernesto for their sophisticated treatment and high morals,good management especially mr fowzy",,519089789,2022-04-03 19:45:27
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,"Location is great, Checkin was quick, rooms are bigger. Mohammed at Reception was very good and even extended my checkout time.",Breakfast is very basic and not upto the mark. Needs to improve the BF drastically.,0,2022-03-31 10:24:24
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,nice place and so clean . thanks for Ernesto for hours keeping.,,63842328,2022-03-26 17:14:49
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,excellent place and clean rooms,bathroom very small,199602304,2022-03-21 14:46:57
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,,"The door access has to be re-programmed again after one day.
renovation works at the reception.",31407605,2022-03-06 04:31:40
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,"The location is just in front of flamingo mall that’s really convenient. The room always smells nice even though you ate something smelly. Cleanliness at its best. Everything we need was already in the room. All staffs were compassionate, highly approachable and true professionals.",Nothing really. Though there’s free wifi the signal of television was fluctuating.,517467798,2022-03-01 16:14:52
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,the hotel was beautiful   comfortable clean close to many resturent  excellent house keeping service.  especilly srilankan employee Rushdi was excellent and Ronel rahim was helful  thank fairos,,207390502,2022-02-27 11:14:25
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,Ali has been super helpful for checking in to the property and Rushdi who has helped us to settle into the apartment and attended to our needs promptly. Definitely recommend this property to a family to relax and spend time together in an amazing apartment with amazing views from the apartment,nothing,176655079,2022-02-24 17:35:35
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,"This like a family home. I felt at home. Starting with Tariq at the reception who was warm and goes out of his way to help. In the housekeeping Jojo and Ernesto are most helpful and efficient. Fairoz is always there to pick your bags. In many hospitality units, they provide 2 bottles of water in the room. Here there was plenty and when I ask for 2 bottles they send me 4. The service is great. The location is perfect. Surrounded by a wide range of restaurants for all tastes.  It is great place for family visits. The great thing is that is in the middle of Jeddah.",There is nothing worth stating. It was all great,266035437,2022-02-12 20:21:24
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,"Reception staff were courteous and professional  Location was perfect, near lots of cultural shopping and eating sites as well as across from Flamingo Mall.",Bed was a little firm.,8345491,2022-02-08 20:29:48
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,,,267816949,2022-01-28 09:18:14
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,"Staffs are really good attitudes Rushdi,jojo,.bell boy Feiroz and Hussain..",,267816949,2022-01-17 17:02:46
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,· i had a wonderful experience at Platinum suites great location close to all services Flamingo mall mosque variety of Breakfast clean rooms the Rushdi and mendoza were very helpful good attitude  cleaning and disinfection of the room superbly,,0,2022-01-01 06:58:36
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,"House keeping   is very nice by jojo and rushdi . .. 
Great service  by Rushdi Especially..",,267816949,2021-12-30 20:31:16
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,"spacious room, facilities, near to mosque and other facilities ( right in front of Flamingo Park)",none,68873822,2021-12-25 13:04:48
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,"Good location, helpful staff sufficient cooking facilities .....and 2 mins walk to the mosque.
Take aways just round the corner...delicious food ....I did not try the breakfast which I reserved for my next visit from 25 Dec to the end of the year",Nothing at all,68873822,2021-12-23 11:43:06
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,i do appreciate Antonio the room cleaner thanks for your dedication and care,,117729370,2021-12-18 13:58:16
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,the staff so helpful and friendly,n/a,7664471,2021-12-04 23:36:04
